Time,Order Type,Status,Spent,Spent Currency,Received,Received Currency,Fee,Unit Price At Execution
12/19/2023 4:22:16 PM,Market Buy,Executed,1000.000000000000,USD,13.315536970000,Sol,10.000000000000,74.349235951241
12/19/2023 4:20:33 PM,Market Buy,Executed,260.000000000000,USD,512.540000000000,Sand,2.600000000000,0.502204705974
12/19/2023 4:19:17 PM,Market Buy,Executed,500.000000000000,USD,1007.813000000000,Mana,5.000000000000,0.491162547020
12/18/2023 1:04:00 AM,Market Buy,Executed,4500.000000000000,USD,2.020240920000,Eth,45.000000000000,2205.182538328151
12/16/2023 11:19:22 AM,Market Buy,Executed,1000.000000000000,USD,5920.590000000000,Grt,10.000000000000,0.167213064914
12/16/2023 11:17:07 AM,Market Buy,Executed,800.000000000000,USD,1578.518000000000,Mana,8.000000000000,0.501736438862
12/16/2023 11:16:16 AM,Market Buy,Executed,2000.000000000000,USD,273.711500000000,Dot,20.000000000000,7.233894081907
12/16/2023 11:15:11 AM,Market Buy,Executed,2260.000000000000,USD,29.994572790000,Sol,22.600000000000,74.593494485307
12/16/2023 11:14:04 AM,Market Buy,Executed,6900.000000000000,USD,3.027626540000,Eth,69.000000000000,2256.222790278487
12/13/2023 6:09:30 PM,Market Buy,Executed,1390.000000000000,USD,20.146298800000,Sol,13.900000000000,68.305350459708
12/9/2023 11:12:34 AM,Market Sell,Executed,4.000000000000,AVAX,133.060000000000,Usd,1.352235772358,33.600000000000
12/9/2023 11:12:01 AM,Market Sell,Executed,300.000000000000,MANA,156.220000000000,Usd,1.589216673449,0.525966666667
12/9/2023 11:11:33 AM,Market Sell,Executed,500.000000000000,SAND,250.630000000000,Usd,2.549643947101,0.506320000000
12/9/2023 11:10:56 AM,Market Sell,Executed,50.000000000000,DOT,365.150000000000,Usd,3.710873983740,7.376600000000
12/9/2023 11:09:01 AM,Market Sell,Executed,20.000000000000,SOL,1500.760000000000,Usd,15.251626016260,75.795500000000
12/7/2023 12:08:13 PM,Market Sell,Executed,500.000000000000,MANA,233.660000000000,Usd,2.377009155646,0.472040000000
12/7/2023 12:06:50 PM,Market Sell,Executed,6.000000000000,AVAX,155.410000000000,Usd,1.579369918293,26.161666666667
12/6/2023 11:44:32 AM,Market Sell,Executed,7.000000000000,AVAX,175.940000000000,Usd,1.788008129776,25.387142857143
12/6/2023 11:43:59 AM,Market Sell,Executed,50.000000000000,DOT,286.750000000000,Usd,2.914126016260,5.792800000000
12/6/2023 11:40:00 AM,Market Sell,Executed,2.000000000000,ETH,4422.930000000000,Usd,44.902842639594,2233.800000000000
12/5/2023 11:08:27 AM,Market Sell,Executed,2.000000000000,ETH,4342.310000000000,Usd,44.084365482234,2193.085000000000
12/3/2023 11:12:08 AM,Market Sell,Executed,2.000000000000,ETH,4265.400000000000,Usd,43.303553299492,2154.240000000000
12/2/2023 5:12:19 PM,Market Sell,Executed,1000.000000000000,GRT,145.950000000000,Usd,1.484740590031,0.147420000000
12/2/2023 5:11:40 PM,Market Sell,Executed,20.000000000000,AVAX,432.600000000000,Usd,4.396341463415,21.848000000000
12/2/2023 5:11:03 PM,Market Sell,Executed,3.000000000000,ETH,6207.360000000000,Usd,63.018883248731,2090.020000000000
11/23/2023 11:32:49 AM,Market Buy,Executed,200.000000000000,USD,480.674000000000,Mana,2.000000000000,0.411921593429
11/23/2023 11:32:11 AM,Market Buy,Executed,200.000000000000,USD,499.440000000000,Sand,2.000000000000,0.396444017299
11/23/2023 11:29:18 AM,Market Buy,Executed,500.000000000000,USD,94.324300000000,Dot,5.000000000000,5.247852356180
11/23/2023 11:28:42 AM,Market Buy,Executed,700.000000000000,USD,11.966349700000,Sol,7.000000000000,57.912397462361
11/21/2023 11:57:32 AM,Market Sell,Executed,300.000000000000,MANA,121.220000000000,Usd,1.233163763988,0.408133333333
11/21/2023 11:56:47 AM,Market Sell,Executed,75.000000000000,DOT,378.690000000000,Usd,3.848475609756,5.100133333333
11/21/2023 11:55:50 AM,Market Sell,Executed,20.000000000000,SOL,1106.830000000000,Usd,11.248272357724,55.900500000000
8/10/2023 1:39:11 PM,Market Buy,Executed,990.000000000000,USD,0.530277000000,Eth,10.000000000000,1866.948783380000
4/22/2023 12:27:07 PM,Market Buy,Executed,49.500000000000,USD,83.000000000000,Sand,0.500000000000,0.596386000000
4/22/2023 12:26:16 PM,Market Buy,Executed,49.500000000000,USD,48.791570000000,Matic,0.500000000000,1.014520000000
4/21/2023 10:52:45 PM,Market Buy,Executed,990.000000000000,USD,0.535275750000,Eth,10.000000000000,1849.514013000000
3/21/2023 11:25:07 AM,Market Buy,Executed,59.400000000000,USD,393.951452440000,Grt,0.600000000000,0.150780000000
3/21/2023 11:23:49 AM,Market Buy,Executed,64.350000000000,USD,3.738887920000,Avax,0.650000000000,17.211000000000
3/21/2023 11:23:29 AM,Market Buy,Executed,74.250000000000,USD,112.317908840000,Sand,0.750000000000,0.661070000000
3/21/2023 11:23:01 AM,Market Buy,Executed,73.850000000000,USD,122.651275820000,Mana,0.750000000000,0.602113590000
3/21/2023 11:17:32 AM,Market Buy,Executed,90.680000000000,USD,80.747996440000,Matic,0.920000000000,1.123000000000
3/21/2023 11:17:07 AM,Market Buy,Executed,91.080000000000,USD,14.582132560000,Dot,0.920000000000,6.246000000000
3/21/2023 11:16:45 AM,Market Buy,Executed,91.080000000000,USD,4.019949680000,Sol,0.920000000000,22.657000000000
3/21/2023 11:16:17 AM,Market Buy,Executed,544.110000000000,USD,0.308500000000,Eth,5.500000000000,1763.711900000000
2/27/2023 11:17:13 PM,Market Buy,Executed,79.200000000000,USD,111.304738880000,Sand,0.800000000000,0.711560000000
2/27/2023 11:15:05 PM,Market Buy,Executed,54.050000000000,USD,82.753123700000,Mana,0.550000000000,0.653147550000
2/27/2023 11:14:01 PM,Market Buy,Executed,54.450000000000,USD,3.036809810000,Avax,0.550000000000,17.930000000000
2/27/2023 11:13:05 PM,Market Buy,Executed,54.450000000000,USD,76.679340930000,Sand,0.550000000000,0.710100000000
2/27/2023 11:12:37 PM,Market Buy,Executed,29.700000000000,USD,189.027494900000,Grt,0.300000000000,0.157120000000
2/27/2023 11:11:53 PM,Market Buy,Executed,91.080000000000,USD,3.992810480000,Sol,0.920000000000,22.811000000000
2/27/2023 11:11:30 PM,Market Buy,Executed,91.080000000000,USD,13.839000820000,Dot,0.920000000000,6.581400000000
2/27/2023 11:11:03 PM,Market Buy,Executed,90.680000000000,USD,73.253089910000,Matic,0.920000000000,1.237900000000
2/27/2023 11:10:27 PM,Market Buy,Executed,544.100000000000,USD,0.332600000000,Eth,5.500000000000,1635.899000000000
2/3/2023 1:02:36 PM,Market Buy,Executed,106.920000000000,USD,140.316802050000,Sand,1.080000000000,0.761990000000
2/3/2023 1:01:05 PM,Market Buy,Executed,54.450000000000,USD,555.193017510000,Grt,0.550000000000,0.098074000000
2/3/2023 1:00:39 PM,Market Buy,Executed,54.450000000000,USD,2.550112400000,Avax,0.550000000000,21.352000000000
2/3/2023 1:00:10 PM,Market Buy,Executed,54.050000000000,USD,68.100692970000,Mana,0.550000000000,0.793677680000
2/3/2023 12:59:35 PM,Market Buy,Executed,90.680000000000,USD,75.234381480000,Matic,0.920000000000,1.205300000000
2/3/2023 12:59:13 PM,Market Buy,Executed,91.080000000000,USD,13.315984150000,Dot,0.920000000000,6.839900000000
2/3/2023 12:58:48 PM,Market Buy,Executed,91.080000000000,USD,3.677177110000,Sol,0.920000000000,24.769000000000
2/3/2023 12:58:11 PM,Market Buy,Executed,544.100000000000,USD,0.328800000000,Eth,5.500000000000,1654.805400000000
1/22/2023 2:02:02 PM,Market Buy,Executed,1098.100000000000,USD,0.671300000000,Eth,11.090000000000,1635.781300000000
1/1/2023 2:04:14 PM,Market Buy,Executed,39.600000000000,USD,713.128038890000,Grt,0.400000000000,0.055530000000
6/14/2022 12:12:18 PM,Market Buy,Executed,321.750000000000,USD,3055.555555550000,Grt,3.220000000000,0.105300000000
6/14/2022 12:11:33 PM,Market Buy,Executed,578.750000000000,USD,1391.895141900000,Matic,5.790000000000,0.415800000000
6/14/2022 12:10:51 PM,Market Buy,Executed,578.750000000000,USD,710.372070490000,Mana,5.790000000000,0.814713900000
6/14/2022 12:10:10 PM,Market Buy,Executed,99.000000000000,USD,6.041742950000,Avax,0.990000000000,16.386000000000
6/14/2022 12:09:41 PM,Market Buy,Executed,574.200000000000,USD,19.855458340000,Sol,5.740000000000,28.919000000000
6/14/2022 12:09:12 PM,Market Buy,Executed,321.750000000000,USD,44.229235970000,Dot,3.220000000000,7.274600000000
6/14/2022 12:08:24 PM,Market Buy,Executed,2474.600000000000,USD,2.103700000000,Eth,24.750000000000,1176.308400000000
5/26/2022 5:09:30 PM,Market Buy,Executed,99.000000000000,USD,10.463346570000,Dot,0.990000000000,9.461600000000
5/10/2022 11:42:37 AM,Market Buy,Executed,99.000000000000,USD,2.043765480000,Avax,0.990000000000,48.440000000000
5/10/2022 11:42:02 AM,Market Buy,Executed,99.000000000000,USD,8.218495760000,Dot,0.990000000000,12.046000000000
5/10/2022 11:41:42 AM,Market Buy,Executed,49.500000000000,USD,0.693024940000,Sol,0.500000000000,71.426000000000
5/10/2022 11:41:09 AM,Market Buy,Executed,742.100000000000,USD,0.308800000000,Eth,7.420000000000,2403.173600000000
4/6/2022 10:25:41 PM,Market Buy,Executed,148.500000000000,USD,7.318515590000,Dot,1.490000000000,20.291000000000
4/6/2022 10:24:59 PM,Market Buy,Executed,297.000000000000,USD,3.465375410000,Avax,2.970000000000,85.705000000000
4/6/2022 10:23:49 PM,Market Buy,Executed,990.000000000000,USD,8.491294270000,Sol,9.900000000000,116.590000000000
4/6/2022 10:22:57 PM,Market Buy,Executed,9899.600000000000,USD,3.077600000000,Eth,99.000000000000,3216.662300000000
4/5/2022 1:46:43 AM,Market Sell,Executed,12.000000000000,SOL,1581.480000000000,Usd,15.810000000000,131.790000000000
4/5/2022 1:37:29 AM,Market Sell,Executed,2.800000000000,ETH,9826.060000000000,Usd,98.260000000000,3509.306000000000
3/11/2022 3:07:39 PM,Market Buy,Executed,297.000000000000,USD,16.430626240000,Dot,2.970000000000,18.076000000000
3/9/2022 1:43:11 PM,Market Buy,Executed,1485.000000000000,USD,18.799134100000,Avax,14.850000000000,78.993000000000
3/8/2022 6:46:18 PM,Market Buy,Executed,990.000000000000,USD,57.344763670000,Dot,9.900000000000,17.264000000000
3/8/2022 6:45:15 PM,Market Buy,Executed,1980.000000000000,USD,23.726782500000,Sol,19.800000000000,83.450000000000
3/8/2022 6:43:48 PM,Market Buy,Executed,14849.600000000000,USD,5.737100000000,Eth,148.500000000000,2588.346000000000
